 ;De 16 a 19 años;;;De 20 a 24 años;;;De 25 a 34 años;;;De 35 a 44 años;;;De 45 a 54 años;;;55 y más años;;
 ;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres
01 Andalucía;;;;;;;;;;;;;;;;;;
    2010T4;3.5;2.1;1.4;12.7;7.0;5.7;33.9;18.0;15.9;29.2;15.2;14.0;20.3;10.6;9.7;7.7;4.4;3.3
    2010T3;3.5;2.1;1.4;13.7;6.4;7.2;25.3;14.8;10.5;24.4;13.0;11.4;15.9;9.2;6.7;7.6;5.0;2.6
    2010T2;4.4;2.8;1.6;12.5;5.5;7.0;29.6;16.1;13.5;25.5;13.6;11.9;16.6;7.1;9.6;7.5;5.0;2.5
    2010T1;5.7;2.8;2.9;11.2;6.3;4.8;32.7;18.3;14.4;29.7;15.1;14.5;18.3;8.0;10.3;4.7;3.0;1.7
    2009T4;4.6;2.7;1.9;11.9;7.8;4.1;25.7;16.5;9.2;29.3;15.1;14.2;14.1;7.9;6.2;5.3;4.1;1.2
    2009T3;4.2;2.4;1.8;15.1;8.5;6.5;23.8;13.6;10.1;22.0;11.2;10.7;12.0;6.9;5.0;4.7;2.6;2.1
    2009T2;4.6;2.4;2.2;13.3;8.6;4.7;24.7;17.0;7.7;25.6;13.6;12.0;14.9;7.6;7.3;5.3;3.4;1.9
    2009T1;5.6;4.2;1.4;12.1;7.2;4.9;30.8;20.1;10.7;24.4;11.8;12.6;13.4;7.5;5.9;3.5;1.7;1.7
    2008T4;4.8;3.0;1.8;10.4;5.5;4.9;23.3;15.7;7.7;15.6;7.2;8.4;9.0;5.7;3.3;3.0;1.7;1.3
    2008T3;4.6;2.2;2.4;6.7;1.8;5.0;14.3;8.5;5.8;11.4;5.3;6.1;4.9;3.5;1.4;1.4;0.3;1.1
    2008T2;6.0;2.2;3.8;8.3;2.8;5.5;14.2;9.1;5.1;11.3;5.2;6.1;5.4;2.5;2.9;1.6;0.4;1.2
    2008T1;4.3;2.8;1.4;5.5;2.7;2.8;12.3;6.1;6.3;8.8;3.5;5.3;6.5;3.3;3.2;3.2;1.6;1.6
    2007T4;2.8;2.1;0.7;5.7;2.3;3.4;8.4;3.5;4.9;9.4;4.4;5.0;4.9;2.2;2.7;2.8;1.4;1.5
    2007T3;3.9;2.8;1.1;5.2;2.2;3.1;7.8;3.6;4.3;6.6;2.3;4.3;5.5;1.9;3.6;4.1;2.3;1.8
    2007T2;3.1;2.0;1.0;6.3;2.5;3.8;9.9;3.7;6.2;8.1;3.6;4.5;4.9;1.0;3.8;3.1;1.4;1.7
    2007T1;3.2;1.5;1.7;4.4;1.0;3.4;11.3;4.6;6.7;10.5;4.2;6.4;4.9;1.7;3.2;2.5;1.1;1.4
    2006T4;1.6;1.0;0.6;4.2;1.9;2.3;10.8;4.4;6.5;10.5;4.6;5.9;3.4;0.9;2.5;1.0;0.3;0.8
    2006T3;2.2;0.7;1.5;3.7;1.4;2.3;9.6;3.6;6.0;7.9;3.2;4.7;5.5;1.7;3.8;2.9;1.8;1.1
    2006T2;3.6;1.9;1.7;3.6;1.7;2.0;12.5;4.9;7.6;8.3;2.8;5.4;5.9;2.6;3.3;1.9;1.3;0.6
    2006T1;4.6;2.3;2.2;5.8;3.5;2.3;11.8;3.1;8.8;6.4;2.3;4.1;6.6;2.3;4.3;3.1;2.3;0.8
03 Asturias, Principado de;;;;;;;;;;;;;;;;;;
    2020T4;1.0;0.6;0.4;5.8;3.7;2.1;16.5;8.5;8.0;14.2;6.1;8.1;14.2;6.5;7.7;8.4;4.2;4.2
    2020T3;1.5;0.2;1.3;6.1;3.4;2.7;15.5;8.2;7.4;16.1;5.8;10.4;14.5;7.6;6.9;9.0;5.2;3.8
    2020T2;1.1;0.7;0.4;4.5;3.2;1.3;17.5;10.5;7.0;14.1;5.9;8.2;16.8;9.6;7.2;8.8;4.8;4.1
    2020T1;0.8;0.2;0.6;4.3;2.0;2.2;15.8;8.0;7.8;15.7;7.2;8.6;17.5;10.1;7.4;11.0;4.4;6.6
    2019T4;0.7;0.3;0.4;5.0;2.7;2.3;14.8;8.5;6.3;14.8;6.7;8.1;14.3;6.3;8.0;9.7;5.0;4.7
    2019T3;1.1;0.7;0.4;4.4;2.2;2.2;15.5;9.0;6.5;19.3;7.9;11.3;15.2;8.4;6.9;9.6;4.7;4.8
    2019T2;0.9;0.9;0.4;4.0;1.8;2.1;14.6;6.5;8.0;18.2;8.8;9.4;16.1;6.9;9.2;9.8;3.3;6.5
    2019T1;0.5;0.5;0.4;5.3;2.6;2.7;17.2;8.3;8.9;19.5;9.9;9.6;17.0;8.1;8.9;8.7;3.2;5.4
    2018T4;1.0;0.8;0.2;3.7;0.9;2.8;14.9;7.0;7.9;15.0;7.0;8.0;15.5;7.8;7.7;7.5;3.0;4.5
    2018T3;1.3;0.8;0.5;5.2;2.8;2.4;14.6;7.0;7.6;17.0;9.5;7.5;15.3;7.4;7.9;7.9;3.3;4.6
    2018T2;1.6;0.5;1.1;6.2;3.0;3.2;13.4;4.5;8.9;15.6;7.8;7.8;15.4;6.2;9.3;7.3;3.3;4.0
    2018T1;1.1;0.9;0.2;6.6;3.0;3.6;14.8;5.9;8.9;19.6;10.7;8.8;16.1;7.7;8.4;10.4;4.7;5.7
    2017T4;2.3;1.5;0.8;5.8;2.7;3.1;14.1;5.9;8.2;21.0;10.5;10.4;15.1;8.0;7.1;8.3;4.1;4.3
    2017T3;1.4;0.5;1.0;5.4;3.7;1.7;14.2;8.3;5.9;18.1;9.7;8.4;12.7;6.5;6.2;7.3;4.5;2.8
    2017T2;1.2;0.8;0.5;6.0;4.2;1.8;14.4;7.4;6.9;17.6;8.1;9.5;13.3;5.0;8.3;7.6;3.8;3.8
    2017T1;1.2;0.5;0.7;5.0;2.6;2.4;16.3;10.7;5.6;20.1;9.7;10.4;15.2;6.7;8.5;7.6;2.9;4.8
    2016T4;0.8;0.5;0.2;6.5;4.3;2.2;19.6;11.6;8.0;19.3;8.7;10.5;15.6;8.1;7.5;5.6;2.5;3.1
    2016T3;1.7;1.2;0.5;8.4;5.2;3.2;23.7;13.8;9.9;23.8;14.2;9.6;15.9;8.5;7.4;7.5;4.1;3.4
    2016T2;1.7;1.0;0.7;10.8;5.9;5.0;22.8;13.8;9.0;25.6;13.7;11.9;20.1;12.1;8.0;10.2;5.8;4.4
    2016T1;1.5;0.8;0.7;9.2;4.6;4.6;24.6;13.4;11.2;28.1;14.0;14.1;18.6;10.4;8.3;8.9;4.9;4.0
    2015T4;0.9;0.6;0.3;8.5;4.5;4.0;24.3;13.8;10.5;30.5;14.9;15.6;20.2;11.0;9.2;11.4;5.9;5.5
    2015T3;1.1;0.4;0.7;6.2;2.7;3.6;21.7;13.0;8.7;25.4;13.0;12.5;14.8;7.8;7.0;10.2;5.6;4.6
    2015T2;2.1;1.1;0.9;6.8;4.4;2.4;22.4;12.7;9.6;31.0;16.1;14.9;21.7;11.7;9.9;9.1;5.2;3.9
    2015T1;1.3;0.4;0.9;6.8;3.6;3.3;23.1;11.7;11.4;27.1;13.4;13.7;17.7;8.7;8.9;11.1;6.3;4.8
    2014T4;2.2;1.0;1.1;7.9;3.7;4.2;28.0;14.4;13.5;27.7;14.0;13.7;20.3;9.7;10.6;12.4;7.5;4.9
    2014T3;1.7;0.4;1.3;6.8;3.3;3.5;31.5;15.7;15.8;25.2;10.8;14.4;19.3;10.3;9.0;11.3;5.5;5.8
    2014T2;0.9;0.6;0.4;8.6;4.4;4.2;30.4;16.2;14.2;29.3;13.7;15.6;20.2;10.3;9.9;10.3;4.7;5.6
    2014T1;1.3;0.7;0.6;10.2;5.5;4.7;32.3;17.1;15.1;32.2;15.5;16.7;23.8;11.2;12.5;9.6;4.1;5.4
    2013T4;1.9;1.4;0.5;9.9;4.5;5.4;35.8;20.4;15.5;30.9;14.9;16.0;21.5;9.8;11.7;7.9;3.8;4.1
    2013T3;3.1;1.5;1.6;12.4;5.8;6.5;38.6;22.0;16.6;35.9;17.4;18.6;20.7;10.9;9.7;7.2;3.0;4.2
    2013T2;2.4;1.9;0.5;10.1;6.0;4.0;36.0;20.6;15.5;37.7;20.0;17.7;24.9;12.7;12.2;7.1;3.5;3.6
    2013T1;1.7;1.3;0.4;13.9;7.7;6.2;37.5;20.5;17.0;37.9;18.8;19.1;27.6;13.4;14.2;7.6;4.8;2.8
    2012T4;0.6;0.3;0.3;11.9;6.4;5.5;40.2;22.1;18.1;33.6;17.4;16.2;21.3;10.2;11.1;9.0;5.2;3.8
    2012T3;1.1;0.4;0.7;10.7;5.5;5.2;30.1;15.5;14.6;33.3;17.4;16.0;24.3;14.1;10.2;8.4;5.3;3.2
    2012T2;1.4;0.5;0.9;9.8;5.5;4.3;33.5;17.5;16.0;31.7;17.7;14.0;19.6;11.5;8.0;8.2;3.9;4.3
    2012T1;1.3;0.7;0.5;11.4;6.9;4.5;33.3;17.0;16.3;29.7;16.4;13.3;18.0;9.4;8.6;5.2;2.8;2.4
    2011T4;2.1;1.4;0.7;11.6;6.7;4.9;30.6;16.6;14.0;24.6;14.2;10.4;14.7;8.2;6.6;8.3;5.2;3.0
    2011T3;2.8;1.7;1.0;12.4;6.0;6.4;25.4;14.6;10.8;23.6;14.6;9.0;13.2;5.1;8.0;6.5;4.5;2.1
    2011T2;2.1;1.5;0.7;10.4;5.5;5.0;25.8;15.0;10.8;23.8;13.2;10.6;14.0;5.9;8.1;8.5;5.7;2.7
    2011T1;1.6;0.9;0.8;10.6;6.2;4.4;28.3;15.1;13.3;23.2;12.4;10.7;15.1;6.1;9.0;9.3;5.1;4.2
    2010T4;2.8;1.7;1.1;9.5;5.2;4.3;26.8;13.6;13.3;19.4;9.1;10.4;15.2;6.7;8.5;7.2;4.3;2.9
    2010T3;2.8;1.3;1.5;6.9;4.9;2.0;25.6;13.4;12.2;13.2;5.3;7.9;14.0;6.9;7.1;6.8;3.8;3.0
    2010T2;2.1;1.6;0.5;7.6;4.6;2.9;29.5;15.2;14.3;17.9;9.2;8.7;16.2;6.7;9.5;6.8;4.1;2.7
