;;;;;;;;;;;;
Tasas de paro por distintos grupos de edad, sexo y comunidad autónoma;;;;;;;;;;;;
Unidades: Tasas;;;;;;;;;;;;
;;;;;;;;;;;;
 ;De 16 a 19 años;;;De 20 a 24 años;;;De 25 a 54 años;;;55 y más años;;
 ;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres
01 Andalucía;;;;;;;;;;;;
    2019;45.10;40.67;51.17;19.92;21.30;18.34;7.88;6.76;9.13;4.90;4.68;5.18
    2018;43.91;51.97;35.55;22.88;22.71;23.09;9.25;8.18;10.43;7.20;5.95;8.67
    2017;42.23;26.90;69.63;28.53;21.73;37.11;9.22;6.85;11.94;6.25;5.13;7.58
    2016;37.54;27.81;52.11;33.18;33.61;32.70;11.48;10.06;13.09;9.26;6.83;12.17
    2015;52.75;50.19;58.84;35.33;37.50;33.12;13.21;12.12;14.46;8.19;6.10;11.02
    2014;75.80;81.80;66.17;39.08;47.57;30.66;14.55;13.85;15.37;9.63;8.91;10.54
    2013;67.22;65.89;68.77;45.70;44.95;46.50;17.30;16.51;18.25;8.79;9.32;8.06
    2012;66.87;70.98;62.89;36.08;34.06;38.25;15.50;16.51;14.30;8.81;8.49;9.25
    2011;54.68;49.57;57.79;24.93;22.15;27.79;12.26;12.37;12.12;7.58;7.24;8.11
    2010;44.34;48.03;41.36;27.86;26.94;28.86;10.74;10.49;11.07;7.23;7.32;7.09
    2009;47.93;44.55;53.32;25.43;24.80;26.19;9.54;8.88;10.37;5.39;3.89;7.94
    2008;43.88;39.78;48.73;13.12;13.25;12.97;6.07;5.04;7.38;2.95;1.35;6.11
    2007;19.46;12.57;28.33;9.74;7.24;12.91;4.23;2.86;6.03;2.42;1.29;4.80
    2006;15.69;10.89;24.87;13.78;14.39;13.11;4.65;3.50;6.17;2.84;1.32;5.75
16 País Vasco;;;;;;;;;;;;
    2020;42.13;34.93;53.52;32.01;30.03;34.49;8.73;7.30;10.24;6.80;7.86;5.74
    2019;38.38;34.90;42.62;25.39;25.65;25.10;7.90;7.18;8.68;8.86;10.33;7.27
    2018;30.89;27.70;34.71;25.01;24.79;25.29;9.21;9.20;9.21;8.54;9.13;7.85
    2017;36.20;39.46;31.91;25.94;24.72;27.30;10.85;9.89;11.90;8.78;8.64;8.95
    2016;56.62;61.30;52.76;31.52;31.55;31.50;11.98;11.35;12.66;9.43;9.28;9.61
